date,name,ticker,amount,type
02/25/2014,Sheldon Whitehouse,DHR,"$1,001 - $15,000",Sale (Partial)
02/25/2014,Sheldon Whitehouse,PANW,"$1,001 - $15,000",Purchase
02/25/2014,Sheldon Whitehouse,QLIK,"$1,001 - $15,000",Purchase
02/19/2014,Sheldon Whitehouse,V,"$15,001 - $50,000",Purchase
02/19/2014,Sheldon Whitehouse,EL,"$1,001 - $15,000",Purchase
02/19/2014,Sheldon Whitehouse,ACE,"$1,001 - $15,000",Purchase
02/19/2014,Sheldon Whitehouse,CLX,"$15,001 - $50,000",Sale (Full)
03/17/2014,John F Reed,ZMH,"$1,001 - $15,000",Purchase
03/27/2014,Susan M Collins,M,"$1,001 - $15,000",Purchase
03/27/2014,Susan M Collins,MSFT,"$1,001 - $15,000",Purchase
03/27/2014,Susan M Collins,BIIB,"$1,001 - $15,000",Sale (Partial)
03/27/2014,Susan M Collins,CELG,"$1,001 - $15,000",Sale (Partial)
03/05/2014,Pat Roberts,KSU,"$1,001 - $15,000",Purchase
03/10/2014,Pat Roberts,BAC,"$1,001 - $15,000",Purchase
03/14/2014,Pat Roberts,BAC,"$15,001 - $50,000",Purchase
03/14/2014,Pat Roberts,FB,"$1,001 - $15,000",Purchase
03/07/2014,Pat Roberts,AAPL,"$50,001 - $100,000",Purchase
03/07/2014,Pat Roberts,BIDU,"$1,001 - $15,000",Purchase
03/06/2014,Pat Roberts,NFLX,"$15,001 - $50,000",Purchase
03/06/2014,Pat Roberts,NFLX,"$15,001 - $50,000",Purchase
03/06/2014,Pat Roberts,BIDU,"$50,001 - $100,000",Purchase
03/03/2014,Pat Roberts,BIDU,"$15,001 - $50,000",Sale (Full)
03/05/2014,Pat Roberts,FB,"$1,001 - $15,000",Sale (Partial)
03/05/2014,Pat Roberts,FB,"$1,001 - $15,000",Sale (Partial)
03/03/2014,Pat Roberts,AAPL,"$50,001 - $100,000",Sale (Full)
04/02/2014,Susan M Collins,C,"$1,001 - $15,000",Sale (Partial)
03/28/2014,Susan M Collins,WIN,"$1,001 - $15,000",Sale (Partial)
03/31/2014,Susan M Collins,ACE,"$1,001 - $15,000",Sale (Partial)
03/31/2014,Susan M Collins,DAL,"$1,001 - $15,000",Purchase
03/28/2014,Susan M Collins,DAL,"$1,001 - $15,000",Purchase
04/03/2014,Susan M Collins,CRM,"$1,001 - $15,000",Sale (Partial)
04/03/2014,Susan M Collins,CELG,"$1,001 - $15,000",Sale (Partial)
04/04/2014,Susan M Collins,RHHBY,"$1,001 - $15,000",Purchase
04/03/2014,Susan M Collins,MSFT,"$1,001 - $15,000",Purchase
04/03/2014,Susan M Collins,M,"$1,001 - $15,000",Purchase
04/03/2014,Susan M Collins,UTX,"$1,001 - $15,000",Purchase
04/03/2014,Susan M Collins,GM,"$1,001 - $15,000",Sale (Partial)
04/03/2014,Susan M Collins,CELG,"$1,001 - $15,000",Sale (Partial)
04/03/2014,Susan M Collins,RHT,"$1,001 - $15,000",Sale (Partial)
04/03/2014,Susan M Collins,CRM,"$1,001 - $15,000",Sale (Partial)
03/28/2014,John F Reed,FCX,"$1,001 - $15,000",Sale (Full)
03/28/2014,John F Reed,ALTR,"$1,001 - $15,000",Purchase
03/28/2014,John F Reed,ZMH,"$1,001 - $15,000",Purchase
03/28/2014,John F Reed,MSFT,"$1,001 - $15,000",Purchase
03/28/2014,John F Reed,AAPL,"$1,001 - $15,000",Purchase
04/08/2014,Susan M Collins,CAT,"$1,001 - $15,000",Sale (Partial)
04/09/2014,Susan M Collins,AMZN,"$1,001 - $15,000",Sale (Partial)
04/09/2014,Susan M Collins,FB,"$1,001 - $15,000",Sale (Partial)
04/07/2014,Susan M Collins,M,"$1,001 - $15,000",Purchase
04/07/2014,Susan M Collins,HON,"$1,001 - $15,000",Purchase
03/31/2014,John Hoeven,BUD,"$50,001 - $100,000",Purchase
