,date,name,ticker,amount,type
4268,12/28/2018,Sheldon Whitehouse,T,"$1,001 - $15,000",Sale (Partial)
4269,12/28/2018,Sheldon Whitehouse,TSLA,"$1,001 - $15,000",Purchase
4270,12/28/2018,Sheldon Whitehouse,BMY,"$15,001 - $50,000",Sale (Full)
4271,12/03/2018,Sheldon Whitehouse,C,"$1,001 - $15,000",Sale (Full)
4272,12/03/2018,Sheldon Whitehouse,BUD,"$15,001 - $50,000",Sale (Full)
4273,12/03/2018,Sheldon Whitehouse,REZI,"$1,001 - $15,000",Sale (Full)
4274,12/04/2018,Sheldon Whitehouse,AAPL,"$15,001 - $50,000",Sale (Partial)
4275,12/04/2018,Sheldon Whitehouse,UNP,"$15,001 - $50,000",Sale (Partial)
4276,12/19/2018,Sheldon Whitehouse,COF,"$1,001 - $15,000",Sale (Full)
4277,12/28/2018,Sheldon Whitehouse,ILMN,"$1,001 - $15,000",Purchase
4278,12/28/2018,Sheldon Whitehouse,F,"$1,001 - $15,000",Sale (Full)
4279,12/28/2018,Sheldon Whitehouse,TSLA,"$1,001 - $15,000",Purchase
4280,12/28/2018,Sheldon Whitehouse,SQ,"$1,001 - $15,000",Purchase
4281,12/18/2018,Thomas Udall,GE,"$1,001 - $15,000",Sale (Partial)
4282,12/12/2018,Shelley M Capito,GIS,"$1,001 - $15,000",Sale (Full)
4283,12/13/2018,Shelley M Capito,PG,"$1,001 - $15,000",Purchase
4284,12/13/2018,Shelley M Capito,PEP,"$1,001 - $15,000",Purchase
4285,01/04/2019,John Hoeven,AAPL,"$50,001 - $100,000",Purchase
4286,12/27/2018,John Hoeven,WTW,"$15,001 - $50,000",Sale (Partial)
4287,12/27/2018,John Hoeven,DWDP,"$50,001 - $100,000",Sale (Full)
4288,12/27/2018,John Hoeven,TAP,"$100,001 - $250,000",Sale (Full)
4289,12/27/2018,John Hoeven,IVZ,"$15,001 - $50,000",Sale (Partial)
4290,12/27/2018,John Hoeven,BUD,"$50,001 - $100,000",Sale (Full)
4291,12/27/2018,John Hoeven,T,"$15,001 - $50,000",Sale (Partial)
4292,12/27/2018,John Hoeven,FDX,"$15,001 - $50,000",Sale (Full)
4293,12/27/2018,John Hoeven,BX,"$100,001 - $250,000",Purchase
4294,08/22/2018,Patrick J Toomey,CAPL,"$1,001 - $15,000",Sale (Partial)
4295,08/09/2018,Patrick J Toomey,CAPL,"$1,001 - $15,000",Sale (Partial)
4296,08/02/2018,Patrick J Toomey,PG,"$15,001 - $50,000",Sale (Partial)
4297,01/16/2019,James M Inhofe,DAL,"$50,001 - $100,000",Sale (Full)
4298,01/16/2019,James M Inhofe,KMX,"$100,001 - $250,000",Sale (Full)
4299,01/16/2019,James M Inhofe,BABA,"$15,001 - $50,000",Sale (Full)
4300,01/16/2019,James M Inhofe,ALB,"$15,001 - $50,000",Sale (Full)
4301,01/15/2019,James M Inhofe,V,"$50,001 - $100,000",Sale (Partial)
4302,01/15/2019,James M Inhofe,AMZN,"$100,001 - $250,000",Sale (Partial)
4303,01/11/2019,James M Inhofe,MRK,"$100,001 - $250,000",Sale (Full)
4304,01/31/2019,"David A Perdue , Jr",MPLX,"$1,001 - $15,000",Purchase
4305,01/31/2019,"David A Perdue , Jr",T,"$1,001 - $15,000",Purchase
4306,01/31/2019,"David A Perdue , Jr",T,"$1,001 - $15,000",Purchase
4307,01/31/2019,"David A Perdue , Jr",MMP,"$1,001 - $15,000",Sale (Partial)
4308,01/31/2019,"David A Perdue , Jr",BOIVF,"$1,001 - $15,000",Purchase
4309,01/31/2019,"David A Perdue , Jr",T,"$1,001 - $15,000",Purchase
4310,01/30/2019,"David A Perdue , Jr",T,"$15,001 - $50,000",Purchase
4311,01/30/2019,"David A Perdue , Jr",T,"$15,001 - $50,000",Purchase
4312,01/29/2019,"David A Perdue , Jr",WPX,"$1,001 - $15,000",Purchase
4313,01/25/2019,"David A Perdue , Jr",FDC,"$1,001 - $15,000",Sale (Partial)
4314,01/23/2019,"David A Perdue , Jr",FDC,"$1,001 - $15,000",Sale (Partial)
4315,01/22/2019,"David A Perdue , Jr",WPX,"$1,001 - $15,000",Purchase
4316,01/18/2019,"David A Perdue , Jr",WPX,"$1,001 - $15,000",Purchase
4317,01/18/2019,"David A Perdue , Jr",WPX,"$1,001 - $15,000",Purchase
4318,01/17/2019,"David A Perdue , Jr",FDC,"$1,001 - $15,000",Sale (Partial)
4319,01/16/2019,"David A Perdue , Jr",FDC,"$15,001 - $50,000",Sale (Partial)
4320,01/15/2019,"David A Perdue , Jr",BWXT,"$1,001 - $15,000",Purchase
4321,01/09/2019,"David A Perdue , Jr",AM,"$1,001 - $15,000",Sale (Partial)
4322,01/09/2019,"David A Perdue , Jr",DVN,"$1,001 - $15,000",Purchase
4323,01/09/2019,"David A Perdue , Jr",DVN,"$1,001 - $15,000",Purchase
4324,01/09/2019,"David A Perdue , Jr",AM,"$1,001 - $15,000",Sale (Partial)
4325,01/08/2019,"David A Perdue , Jr",KN,"$1,001 - $15,000",Sale (Full)
4326,01/08/2019,"David A Perdue , Jr",BWXT,"$1,001 - $15,000",Purchase
4327,01/08/2019,"David A Perdue , Jr",GPK,"$1,001 - $15,000",Purchase
4328,01/07/2019,"David A Perdue , Jr",KN,"$1,001 - $15,000",Sale (Partial)
4329,01/07/2019,"David A Perdue , Jr",BWXT,"$1,001 - $15,000",Purchase
4330,01/04/2019,"David A Perdue , Jr",BWXT,"$1,001 - $15,000",Purchase
4331,01/04/2019,"David A Perdue , Jr",CZR,"$1,001 - $15,000",Purchase
4332,01/04/2019,"David A Perdue , Jr",BWXT,"$1,001 - $15,000",Purchase
4333,01/04/2019,"David A Perdue , Jr",DVN,"$15,001 - $50,000",Purchase
4334,01/03/2019,"David A Perdue , Jr",KN,"$1,001 - $15,000",Sale (Partial)
4335,01/03/2019,"David A Perdue , Jr",AAPL,"$1,001 - $15,000",Purchase
4336,01/03/2019,"David A Perdue , Jr",BWXT,"$1,001 - $15,000",Purchase
4337,01/03/2019,"David A Perdue , Jr",WPX,"$1,001 - $15,000",Purchase
4338,01/24/2019,Sheldon Whitehouse,T,"$1,001 - $15,000",Purchase
4339,01/28/2019,Patrick J Toomey,AX,"$100,001 - $250,000",Sale (Full)
4340,01/31/2019,Patrick J Toomey,TNTOF,"$15,001 - $50,000",Purchase
4341,01/25/2019,William Cassidy,PPG,"$1,001 - $15,000",Sale (Full)
4342,01/25/2019,William Cassidy,NVS,"$1,001 - $15,000",Purchase
4343,01/25/2019,William Cassidy,MDT,"$1,001 - $15,000",Purchase
4344,01/25/2019,William Cassidy,XOM,"$1,001 - $15,000",Purchase
4345,01/25/2019,William Cassidy,DWDP,"$1,001 - $15,000",Purchase
4346,01/25/2019,William Cassidy,DIS,"$1,001 - $15,000",Purchase
4347,01/25/2019,William Cassidy,CMCSA,"$1,001 - $15,000",Purchase
4348,01/25/2019,William Cassidy,CSCO,"$1,001 - $15,000",Purchase
4349,01/25/2019,William Cassidy,CVS,"$1,001 - $15,000",Purchase
4350,01/25/2019,William Cassidy,AAPL,"$1,001 - $15,000",Purchase
4351,02/04/2019,James M Inhofe,EDIT,"$15,001 - $50,000",Sale (Full)
4352,01/29/2019,James M Inhofe,MSFT,"$15,001 - $50,000",Sale (Full)
4353,01/31/2019,"Angus S King, Jr.",AMZN,"$1,001 - $15,000",Purchase
4354,01/10/2019,"Angus S King, Jr.",UTX,"$1,001 - $15,000",Sale (Full)
4355,01/10/2019,"Angus S King, Jr.",MKC,"$1,001 - $15,000",Sale (Partial)
4356,01/10/2019,"Angus S King, Jr.",AXP,"$1,001 - $15,000",Sale (Partial)
4357,12/20/2018,Thomas R Tillis,CVS,"$1,001 - $15,000",Sale (Partial)
4358,02/04/2019,John F Reed,XLNX,"$1,001 - $15,000",Sale (Partial)
4359,02/04/2019,John F Reed,VRTX,"$1,001 - $15,000",Sale (Full)
4360,02/04/2019,John F Reed,SYK,"$1,001 - $15,000",Sale (Partial)
4361,02/04/2019,John F Reed,QCOM,"$1,001 - $15,000",Sale (Full)
4362,02/04/2019,John F Reed,ISRG,"$1,001 - $15,000",Sale (Full)
4363,02/04/2019,John F Reed,INTC,"$1,001 - $15,000",Sale (Full)
4364,02/04/2019,John F Reed,ITW,"$1,001 - $15,000",Sale (Full)
4365,02/04/2019,John F Reed,IQV,"$1,001 - $15,000",Sale (Partial)
4366,02/04/2019,John F Reed,HON,"$1,001 - $15,000",Sale (Full)
4367,02/04/2019,John F Reed,FDX,"$1,001 - $15,000",Sale (Partial)
4368,02/04/2019,John F Reed,DHR,"$1,001 - $15,000",Sale (Full)
4369,02/04/2019,John F Reed,COST,"$1,001 - $15,000",Sale (Full)
4370,02/04/2019,John F Reed,CSCO,"$1,001 - $15,000",Sale (Full)
4371,02/04/2019,John F Reed,CVS,"$1,001 - $15,000",Sale (Full)
4372,02/04/2019,John F Reed,AAPL,"$1,001 - $15,000",Sale (Partial)
4373,02/04/2019,John F Reed,AMGN,"$1,001 - $15,000",Sale (Full)
4374,02/27/2019,"David A Perdue , Jr","--
WGP","$15,001 - $50,000",Exchange
4375,02/13/2019,"David A Perdue , Jr",BOIVF,"$1,001 - $15,000",Purchase
4376,02/27/2019,"David A Perdue , Jr",BWXT,"$1,001 - $15,000",Sale (Partial)
4377,02/27/2019,"David A Perdue , Jr",BWXT,"$1,001 - $15,000",Sale (Partial)
4378,02/27/2019,"David A Perdue , Jr",TRGP,"$1,001 - $15,000",Sale (Partial)
4379,02/27/2019,"David A Perdue , Jr",LNG,"$1,001 - $15,000",Purchase
