,date,name,ticker,amount,type
67,02/19/2014,Sheldon Whitehouse,JPM,"$1,001 - $15,000",Purchase
68,03/13/2014,Sheldon Whitehouse,VFC,"$1,001 - $15,000",Sale (Partial)
69,03/13/2014,Sheldon Whitehouse,BEAV,"$15,001 - $50,000",Purchase
70,02/25/2014,Sheldon Whitehouse,DHR,"$1,001 - $15,000",Sale (Partial)
71,02/25/2014,Sheldon Whitehouse,PANW,"$1,001 - $15,000",Purchase
72,02/25/2014,Sheldon Whitehouse,QLIK,"$1,001 - $15,000",Purchase
73,02/19/2014,Sheldon Whitehouse,V,"$15,001 - $50,000",Purchase
74,02/19/2014,Sheldon Whitehouse,EL,"$1,001 - $15,000",Purchase
75,02/19/2014,Sheldon Whitehouse,ACE,"$1,001 - $15,000",Purchase
76,02/19/2014,Sheldon Whitehouse,CLX,"$15,001 - $50,000",Sale (Full)
77,03/17/2014,John F Reed,ZMH,"$1,001 - $15,000",Purchase
78,03/27/2014,Susan M Collins,M,"$1,001 - $15,000",Purchase
79,03/27/2014,Susan M Collins,MSFT,"$1,001 - $15,000",Purchase
80,03/27/2014,Susan M Collins,BIIB,"$1,001 - $15,000",Sale (Partial)
81,03/27/2014,Susan M Collins,CELG,"$1,001 - $15,000",Sale (Partial)
82,03/05/2014,Pat Roberts,KSU,"$1,001 - $15,000",Purchase
83,03/10/2014,Pat Roberts,BAC,"$1,001 - $15,000",Purchase
84,03/14/2014,Pat Roberts,BAC,"$15,001 - $50,000",Purchase
85,03/14/2014,Pat Roberts,FB,"$1,001 - $15,000",Purchase
86,03/07/2014,Pat Roberts,AAPL,"$50,001 - $100,000",Purchase
87,03/07/2014,Pat Roberts,BIDU,"$1,001 - $15,000",Purchase
88,03/06/2014,Pat Roberts,NFLX,"$15,001 - $50,000",Purchase
89,03/06/2014,Pat Roberts,NFLX,"$15,001 - $50,000",Purchase
90,03/06/2014,Pat Roberts,BIDU,"$50,001 - $100,000",Purchase
91,03/03/2014,Pat Roberts,BIDU,"$15,001 - $50,000",Sale (Full)
92,03/05/2014,Pat Roberts,FB,"$1,001 - $15,000",Sale (Partial)
93,03/05/2014,Pat Roberts,FB,"$1,001 - $15,000",Sale (Partial)
94,03/03/2014,Pat Roberts,AAPL,"$50,001 - $100,000",Sale (Full)
95,04/02/2014,Susan M Collins,C,"$1,001 - $15,000",Sale (Partial)
96,03/28/2014,Susan M Collins,WIN,"$1,001 - $15,000",Sale (Partial)
97,03/31/2014,Susan M Collins,ACE,"$1,001 - $15,000",Sale (Partial)
98,03/31/2014,Susan M Collins,DAL,"$1,001 - $15,000",Purchase
99,03/28/2014,Susan M Collins,DAL,"$1,001 - $15,000",Purchase
100,04/03/2014,Susan M Collins,CRM,"$1,001 - $15,000",Sale (Partial)
101,04/03/2014,Susan M Collins,CELG,"$1,001 - $15,000",Sale (Partial)
102,04/04/2014,Susan M Collins,RHHBY,"$1,001 - $15,000",Purchase
103,04/03/2014,Susan M Collins,MSFT,"$1,001 - $15,000",Purchase
104,04/03/2014,Susan M Collins,M,"$1,001 - $15,000",Purchase
105,04/03/2014,Susan M Collins,UTX,"$1,001 - $15,000",Purchase
106,04/03/2014,Susan M Collins,GM,"$1,001 - $15,000",Sale (Partial)
107,04/03/2014,Susan M Collins,CELG,"$1,001 - $15,000",Sale (Partial)
108,04/03/2014,Susan M Collins,RHT,"$1,001 - $15,000",Sale (Partial)
109,04/03/2014,Susan M Collins,CRM,"$1,001 - $15,000",Sale (Partial)
110,03/28/2014,John F Reed,FCX,"$1,001 - $15,000",Sale (Full)
