base_amount,PE Ratio,ROE,Profit Margin,TTM Revenue,price_at_trade
1001,34.989754,0.10702,0.07666,85987999744.0,135.3466339111328
1001,45.771713,1.07359,0.53007,187141996544.0,129.9064178466797
1001,29.451172,0.32643002,0.30892,189458006016.0,646.5557861328125
1001,29.451172,0.32643002,0.30892,189458006016.0,639.4161376953125
1001,23.881912,1.62909,0.087740004,166189006848.0,370.2129211425781
1001,23.881912,1.62909,0.087740004,166189006848.0,373.8753051757813
1001,22.548862,0.09323,0.2549,4702754816.0,156.50299072265625
1001,32.09901,0.24327,0.11063,691330023424.0,205.58999633789065
1001,30.896246,0.3545,0.32233003,385476001792.0,163.6353759765625
1001,30.896246,0.3545,0.32233003,385476001792.0,153.9557647705078
250001,5.6938777,0.1294,0.77559,1016000000.0,92.77153778076172
15001,21.22333,0.52875,0.30012,23181000704.0,397.3999938964844
15001,30.87067,0.35508,0.24669,28367998976.0,171.709716796875
15001,23.67208,0.22589001,0.20548001,14122999808.0,30.1810245513916
50001,20.825598,0.07316,0.06767,188687007744.0,137.55239868164062
15001,13.112994,0.15421,0.14445,61280002048.0,91.75989532470705
15001,34.41278,0.2132,0.05494,15163188224.0,382.06640625
15001,30.162367,0.091309994,0.08091,21739999232.0,215.44009399414065
15001,35.934734,0.62261003,0.29657,19591788544.0,84.73131561279297
15001,32.94991,0.29757,0.29208001,17265999872.0,185.19644165039065
15001,32.81734,0.13116999,0.15022,43735998464.0,428.1216125488281
50001,36.114346,0.052389998,0.01283,116552998912.0,132.05447387695312
50001,20.022726,0.49868,0.28211,9397000192.0,159.32066345214844
1001,30.863056,0.3545,0.32233003,385476001792.0,165.05389404296875
250001,5.6938777,0.1294,0.77559,1016000000.0,87.0505599975586
100001,5.6938777,0.1294,0.77559,1016000000.0,87.0505599975586
100001,,0.0273,0.05495,4040000000.0,95.33999633789062
50001,,,,,48.6551628112793
1001,16.905163,0.17476,0.04042,435159007232.0,577.2742309570312
1001,50.635105,0.69241995,0.21079999,59017998336.0,129.2605438232422
1001,34.836414,0.32241002,0.35707,293812011008.0,364.864013671875
1001,34.836414,0.32241002,0.35707,293812011008.0,369.62841796875
1001,29.453823,0.32643002,0.30892,189458006016.0,520.767578125
1001,11.072279,,,,74.82140350341797
1001,,,,,22.80448341369629
1001,102.27915,0.27083,0.31592,59925999616.0,155.39735412597656
1001,10.039824,0.10944,0.85565,1748173952.0,16.388286590576172
1001,30.886364,0.3545,0.32233003,385476001792.0,159.8234100341797
15001,,,,,44.77000045776367
15001,,,,,42.43000030517578
15001,,,,,44.59000015258789
15001,,,,,47.33000183105469
15001,,,,,44.880001068115234
50001,,,,,47.380001068115234
50001,,,,,48.0
15001,,,,,48.040000915527344
1001,,,,,102.61287689208984
1001,,,,,102.44793701171876
1001,30.860277,0.35508,0.24669,28367998976.0,153.2814178466797
15001,78.70648,0.01615,0.04899,28885999616.0,170.93377685546875
1001,29.44366,0.32643002,0.30892,189458006016.0,610.0984497070312
1001,40.773445,0.19839,0.11026,24841000960.0,216.16505432128903
50001,,,,,45.810001373291016
15001,,,,,43.61000061035156
15001,,,,,45.209999084472656
50001,,,,,42.9900016784668
15001,,,,,49.25
50001,,,,,46.790000915527344
15001,,,,,45.84000015258789
50001,,,,,45.36000061035156
15001,,,,,45.88999938964844
50001,,,,,47.91999816894531
1001,14.824547,0.115200005,0.26629,79072002048.0,75.76393127441406
1001,11.939791,,,,35.29999923706055
1001,35.42236,,,,6.329999923706055
1001,45.76054,1.07359,0.53007,187141996544.0,131.24411010742188
1001,29.80753,1.1517,0.18704,11313000448.0,423.0666809082031
1001,34.843525,0.32241002,0.35707,293812011008.0,405.4391479492188
1001,34.843525,0.32241002,0.35707,293812011008.0,410.2635803222656
1001,34.36909,1.8486099,0.45275003,31473999872.0,563.884765625
1001,,,,,102.3557586669922
1001,37.058926,0.21869,0.12489,15890400256.0,264.49639892578125
1001,50.096256,0.12488,0.1443,19349000192.0,106.13999938964844
1001,24.346548,0.33935001,0.16143999,65294000128.0,293.633056640625
1001,24.346548,0.33935001,0.16143999,65294000128.0,317.8594665527344
1001,32.09335,0.24327,0.11063,691330023424.0,214.3500061035156
1001,32.09335,0.24327,0.11063,691330023424.0,242.05999755859372
1001,30.88834,0.3545,0.32233003,385476001792.0,185.5351104736328
1001,40.740276,0.19839,0.11026,24841000960.0,304.62335205078125
15001,,,,,45.88999938964844
50001,,,,,47.91999816894531
1001,30.804504,0.11147001,0.10941,10785000448.0,203.6097717285156
1001,,-0.03303,-0.012999999,6507100160.0,32.32415008544922
1001,53.10024,0.11773,0.02406,13762472960.0,141.58999633789062
1001,9.591264,0.23041001,0.12761,2475117056.0,137.66000366210938
1001,155.80556,,0.02398,6639848960.0,98.15391540527344
1001,17.537382,0.13532,0.29073998,57336999936.0,619.7225952148438
1001,18.437908,,0.05005,104090001408.0,98.69567108154295
1001,152.13792,0.22868,0.26627,796128000.0,71.80999755859375
1001,257.0634,0.02718,0.041339997,6043358208.0,87.5
