date,name,ticker,amount,type
2025-09-04,Sheldon Whitehouse,MSFT,"$15,001 - $50,000",Sale (Partial)
2025-09-23,Markwayne Mullin,WAB,"$15,001 - $50,000",Sale (Full)
2025-09-23,Markwayne Mullin,WAB,"$1,001 - $15,000",Sale (Full)
2025-09-23,Markwayne Mullin,WAB,"$15,001 - $50,000",Sale (Full)
2025-09-24,Markwayne Mullin,ADBE,"$15,001 - $50,000",Sale (Full)
2025-09-24,Markwayne Mullin,UNH,"$15,001 - $50,000",Purchase
2025-09-24,Markwayne Mullin,NOW,"$1,001 - $15,000",Purchase
2025-09-24,Markwayne Mullin,INTU,"$15,001 - $50,000",Purchase
2025-09-24,Markwayne Mullin,ACN,"$15,001 - $50,000",Sale (Full)
2025-09-24,Markwayne Mullin,ISRG,"$50,001 - $100,000",Purchase
2025-09-24,Markwayne Mullin,TXN,"$15,001 - $50,000",Sale (Full)
2025-09-24,Markwayne Mullin,IHF,"$15,001 - $50,000",Sale (Full)
2025-09-22,Adam B Schiff,AAPL,"$15,001 - $50,000",Sale (Partial)
2025-08-01,John Boozman,VEA,"$1,001 - $15,000",Sale (Partial)
2025-08-14,John Boozman,EMRZX,"$15,001 - $50,000",Sale (Full)
2025-08-07,John Boozman,EMRZX,"$15,001 - $50,000",Sale (Partial)
2025-08-01,John Boozman,EMRZX,"$1,001 - $15,000",Sale (Partial)
2025-08-01,John Boozman,URNM,"$1,001 - $15,000",Sale (Partial)
2025-08-22,John Boozman,MU,"$1,001 - $15,000",Sale (Partial)
2025-08-01,John Boozman,IVV,"$1,001 - $15,000",Sale (Partial)
2025-08-01,John Boozman,EFA,"$1,001 - $15,000",Sale (Partial)
2025-08-01,John Boozman,SLV,"$1,001 - $15,000",Sale (Partial)
2025-08-01,John Boozman,TBLL,"$15,001 - $50,000",Sale (Partial)
2025-08-01,John Boozman,GIGB,"$1,001 - $15,000",Sale (Partial)
2025-08-01,John Boozman,GEM,"$1,001 - $15,000",Sale (Partial)
2025-08-01,John Boozman,EMLP,"$1,001 - $15,000",Sale (Partial)
2025-08-01,John Boozman,PPLT,"$1,001 - $15,000",Sale (Partial)
2025-08-01,John Boozman,PALL,"$1,001 - $15,000",Sale (Partial)
2025-08-22,John Boozman,ABBV,"$1,001 - $15,000",Sale (Partial)
2025-08-11,John Boozman,ABBV,"$1,001 - $15,000",Sale (Partial)
2025-08-01,John Boozman,VNQI,"$1,001 - $15,000",Purchase
2025-08-01,John Boozman,SCHP,"$1,001 - $15,000",Purchase
2025-08-22,John Boozman,NVDA,"$1,001 - $15,000",Purchase
2025-08-14,John Boozman,RNWGX,"$15,001 - $50,000",Purchase
2025-08-07,John Boozman,RNWGX,"$15,001 - $50,000",Purchase
2025-08-01,John Boozman,RNWGX,"$1,001 - $15,000",Purchase
2025-08-22,John Boozman,LLY,"$1,001 - $15,000",Purchase
2025-08-11,John Boozman,LLY,"$1,001 - $15,000",Purchase
2025-08-01,John Boozman,JMBS,"$1,001 - $15,000",Purchase
2025-08-01,John Boozman,IWM,"$1,001 - $15,000",Purchase
2025-08-01,John Boozman,IEF,"$1,001 - $15,000",Purchase
2025-08-01,John Boozman,SHY,"$1,001 - $15,000",Purchase
2025-08-01,John Boozman,TLH,"$1,001 - $15,000",Purchase
2025-08-01,John Boozman,CMBS,"$1,001 - $15,000",Purchase
2025-08-01,John Boozman,IEI,"$1,001 - $15,000",Purchase
2025-08-01,John Boozman,TLT,"$1,001 - $15,000",Purchase
2025-08-01,John Boozman,MBB,"$1,001 - $15,000",Purchase
2025-08-01,John Boozman,AGZ,"$1,001 - $15,000",Purchase
2025-08-01,John Boozman,GEM,"$1,001 - $15,000",Purchase
2025-08-01,John Boozman,WWSYX,"$1,001 - $15,000",Purchase
2025-08-07,John Boozman,AMD,"$1,001 - $15,000",Purchase
2025-09-01,"A. Mitchell McConnell, Jr.",WFC,"$1,001 - $15,000",Purchase
2025-08-28,Sheldon Whitehouse,UNH,"$15,001 - $50,000",Sale (Full)
2025-08-28,Sheldon Whitehouse,LRCX,"$15,001 - $50,000",Sale (Partial)
2025-08-28,Sheldon Whitehouse,KVUE,"$1,001 - $15,000",Sale (Full)
2025-08-28,Sheldon Whitehouse,DHR,"$1,001 - $15,000",Sale (Full)
2025-08-04,Shelley M Capito,BLK,"$1,001 - $15,000",Sale (Partial)
2025-08-01,Shelley M Capito,SHW,"$1,001 - $15,000",Purchase
2025-08-01,Shelley M Capito,PLD,"$1,001 - $15,000",Purchase
2025-08-01,Markwayne Mullin,UNH,"$15,001 - $50,000",Sale (Partial)
2025-07-21,"Angus S King, Jr.",VRT,"$1,001 - $15,000",Purchase
2025-07-21,"Angus S King, Jr.",UBER,"$1,001 - $15,000",Purchase
2025-07-21,"Angus S King, Jr.",TMO,"$1,001 - $15,000",Sale (Full)
2025-07-21,"Angus S King, Jr.",PWR,"$1,001 - $15,000",Purchase
2025-07-21,"Angus S King, Jr.",PYPL,"$1,001 - $15,000",Purchase
2025-07-21,"Angus S King, Jr.",ONON,"$1,001 - $15,000",Purchase
2025-07-21,"Angus S King, Jr.",NVDA,"$1,001 - $15,000",Purchase
2025-07-21,"Angus S King, Jr.",NFLX,"$1,001 - $15,000",Purchase
2025-07-21,"Angus S King, Jr.",MSFT,"$1,001 - $15,000",Purchase
2025-07-21,"Angus S King, Jr.",META,"$1,001 - $15,000",Purchase
2025-07-21,"Angus S King, Jr.",MRVL,"$1,001 - $15,000",Purchase
2025-07-21,"Angus S King, Jr.",LOW,"$1,001 - $15,000",Purchase
2025-07-21,"Angus S King, Jr.",KEX,"$1,001 - $15,000",Purchase
2025-07-21,"Angus S King, Jr.",JPM,"$1,001 - $15,000",Purchase
2025-07-21,"Angus S King, Jr.",XOM,"$1,001 - $15,000",Purchase
2025-07-21,"Angus S King, Jr.",BX,"$1,001 - $15,000",Purchase
2025-07-21,"Angus S King, Jr.",BAC,"$1,001 - $15,000",Purchase
2025-07-21,"Angus S King, Jr.",ADSK,"$1,001 - $15,000",Purchase
2025-07-21,"Angus S King, Jr.",ANET,"$1,001 - $15,000",Purchase
2025-07-21,"Angus S King, Jr.",AMAT,"$1,001 - $15,000",Purchase
2025-07-21,"Angus S King, Jr.",GOOGL,"$1,001 - $15,000",Purchase
2025-07-21,"Angus S King, Jr.",AMD,"$1,001 - $15,000",Purchase
2025-07-15,"Angus S King, Jr.",UNH,"$1,001 - $15,000",Sale (Full)
2024-12-11,Markwayne Mullin,LLY,"$50,001 - $100,000",Purchase
2025-07-31,John Boozman,MDLZ,"$1,001 - $15,000",Sale (Partial)
2025-07-01,John Boozman,MU,"$1,001 - $15,000",Sale (Partial)
2025-07-24,John Boozman,JPM,"$1,001 - $15,000",Sale (Partial)
2025-07-08,John Boozman,HYG,"$1,001 - $15,000",Sale (Full)
2025-07-31,John Boozman,GD,"$1,001 - $15,000",Sale (Partial)
2025-07-31,John Boozman,WMT,"$1,001 - $15,000",Purchase
2025-07-08,John Boozman,GIGB,"$1,001 - $15,000",Purchase
2025-07-31,John Boozman,GE,"$1,001 - $15,000",Purchase
2025-07-07,Sheldon Whitehouse,NVDA,"$15,001 - $50,000",Sale (Partial)
2025-07-03,Sheldon Whitehouse,ADI,"$15,001 - $50,000",Sale (Full)
